post_id,full_text_comments,stance,stance_confidence
0,@Menlu_RI Menteri paling gak becus.,Negative,1.0
1,@Menlu_RI Mentri tolol,Negative,1.0
2,@P3gEl Emang mulut pejabat kita ini kayak kurang makan sekolahan. Buruk sekali p...,Negative,1.0
3,"@P3gEl Maaf ya kak, Presiden, wapres dan pejabat di negeri ini memang gak punya ...",Neutral,0.3
4,"@kompascom Melayani & mengayomi rakyat aja gak becus, pake ditambah tugasnya jad...",Negative,1.0
5,@BILLRAY2019 GOBLOGnya presiden @prabowo gk ada obatnya di dunia international!!...,Negative,1.0
6,@susipudjiastuti @prabowo lha dia punya jg buanyaak bgt bu gmana MALING bs tangk...,Negative,0.88
7,Semakin hari semakin terbuka kalau Presiden @prabowo tidak independen dan ada so...,Negative,1.0
8,#intinyadeh lebih dr 100 org Indonesia kabur dr Chrey Thum Kamboja. Mereka ngaku...,Neutral,0.3
9,"Melayani rakyat gak becus, pake yang lain-lain",Negative,1.0
10,@KotaNusantara Program renovasi rumah dari Presiden Prabowo bikin hati lega masa...,Positive,1.0
11,@KotaNusantara Langkah Presiden Prabowo ini keren banget bikin makin optimis soa...,Positive,0.5
12,@kusuma4a Hanya bisa berkata terima kasih baktimu TNI ku,Positive,0.8
13,@kusuma4a Bangga kami atas kinerja TNI,Positive,0.9
14,Dukungan penuh untuk kebijakan internasional Indonesia yang forward-thinking sep...,Positive,1.0
15,Setuju 100% dengan kebijakan ini! Ini keputusan yang bijak untuk Indonesia,Positive,0.8600000000000001
16,Langkah maju yang sangat bagus untuk negara kita,Positive,0.5
17,Mantap jiwa! Ini yang kami tunggu-tunggu,Positive,0.925
18,Presiden membuat keputusan ini setelah konsultasi menyeluruh. Implementasi dimul...,Neutral,0.3
19,Jumlah peserta mencapai 5000 orang di lokasi acara itu.,Neutral,0.3
20,Program ini berlaku mulai tanggal 1 Juni 2026,Neutral,0.3
21,"Hmm, sebagian setuju sebagian tidak. Ada pro dan kontra yang perlu dipertimbangk...",Positive,0.48
22,Saya tidak yakin apakah ini keputusan yang tepat atau tidak. Perlu waktu untuk l...,Neutral,0.44999999999999996
